Entry	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P53832	fungal-type cell wall organization [GO:0031505]; response to heat [GO:0009408]; Rho protein signal transduction [GO:0007266]	transmembrane signaling receptor activity [GO:0004888]	cellular bud [GO:0005933]; cytoplasm [GO:0005737]; fungal-type vacuole [GO:0000324]; integral component of membrane [GO:0016021]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]; site of polarized growth [GO:0030427]
P30822	mRNA export from nucleus [GO:0006406]; nuclear export [GO:0051168]; protein export from nucleus [GO:0006611]; protein localization to kinetochore [GO:0034501]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit export from nucleus [GO:0000056]	nuclear export signal receptor activity [GO:0005049]; nuclear import signal receptor activity [GO:0061608]; small GTPase binding [GO:0031267]; U1 snRNA binding [GO:0030619]; U2 snRNA binding [GO:0030620]; U4 snRNA binding [GO:0030621]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]	cytoplasm [GO:0005737]; kinetochore [GO:0000776]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; spindle pole body [GO:0005816]
P38932	cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; Golgi to endosome transport [GO:0006895]; Golgi to vacuole transport [GO:0006896]; Golgi vesicle fusion to target membrane [GO:0048210]; intracellular protein transport [GO:0006886]; positive regulation of SNARE complex assembly [GO:0035543]; protein targeting to vacuole [GO:0006623]; vacuolar acidification [GO:0007035]; vacuole inheritance [GO:0000011]; vacuole organization [GO:0007033]; vesicle-mediated transport [GO:0016192]	SNARE binding [GO:0000149]; unfolded protein binding [GO:0051082]	cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; Golgi membrane [GO:0000139]; SNARE complex [GO:0031201]; vacuolar membrane [GO:0005774]
P23643	autophagy [GO:0006914]; endosomal vesicle fusion [GO:0034058]; protein targeting to vacuole [GO:0006623]; vacuolar acidification [GO:0007035]; vacuole inheritance [GO:0000011]		CORVET complex [GO:0033263]; cytoplasm [GO:0005737]; endosome [GO:0005768]; fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]
P38277			cytoplasm [GO:0005737]
Q8TGU6			
P34215			
P34220	apoptotic DNA fragmentation [GO:0006309]; cellular response to oxidative stress [GO:0034599]	3'-5'-exodeoxyribonuclease activity [GO:0008296]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
P0CX18			anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]
P38350			
P53964			integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P53717			integral component of membrane [GO:0016021]
P29055	DNA-templated transcription, initiation [GO:0006352]; positive regulation of transcription regulatory region DNA binding [GO:2000679]; RNA polymerase II preinitiation complex assembly [GO:0051123]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription open complex formation at RNA polymerase II promoter [GO:0001113]	metal ion binding [GO:0046872]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II complex recruiting activity [GO:0001139]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TBP-class protein binding [GO:0017025]	nucleus [GO:0005634]; transcription preinitiation complex [GO:0097550]
P13393	DNA-templated transcription, initiation [GO:0006352]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; RNA polymerase III preinitiation complex assembly [GO:0070898]; RNA polymerase II preinitiation complex assembly [GO:0051123]; RNA polymerase I preinitiation complex assembly [GO:0001188]; transposon integration [GO:0070893]	chromatin binding [GO:0003682]; disordered domain specific binding [GO:0097718]; DNA binding, bending [GO:0008301]; general transcription initiation factor activity [GO:0140223]; RNA polymerase I general transcription initiation factor binding [GO:0001179]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; RNA polymerase III general transcription initiation factor activity [GO:0000995]; RNA polymerase III transcription regulatory region sequence-specific DNA binding [GO:0001016]; TFIIA-class transcription factor complex binding [GO:0001092]; transcription factor binding [GO:0008134]	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription factor TFIIA complex [GO:0005672]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIIB complex [GO:0000126]
P40045	negative regulation of actin filament polymerization [GO:0030837]		actin cortical patch [GO:0030479]; Aim21-Tda2 complex [GO:0110131]; cytoplasm [GO:0005737]; mating projection tip [GO:0043332]
Q12272	tRNA processing [GO:0008033]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	NAD+ ADP-ribosyltransferase activity [GO:0003950]; tRNA 2'-phosphotransferase activity [GO:0000215]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53916	ascospore wall assembly [GO:0030476]; dephosphorylation [GO:0016311]; phosphatidylinositol 3-kinase signaling [GO:0014065]; protein dephosphorylation [GO:0006470]; regulation of protein kinase B signaling [GO:0051896]	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity [GO:0016314]; protein tyrosine phosphatase activity [GO:0004725]	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q03496	tRNA methylation [GO:0030488]; wobble position ribose methylation [GO:0002130]		cytoplasm [GO:0005737]; cytosol [GO:0005829]
P35169	cellular response to DNA damage stimulus [GO:0006974]; cellular response to heat [GO:0034605]; cellular response to oxidative stress [GO:0034599]; fungal-type cell wall organization [GO:0031505]; meiotic cell cycle [GO:0051321]; mitochondria-nucleus signaling pathway [GO:0031930]; negative regulation of autophagy [GO:0010507]; negative regulation of macroautophagy [GO:0016242]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]; regulation of cell growth [GO:0001558]; regulation of snRNA pseudouridine synthesis [GO:1905356]; regulation of sphingolipid biosynthetic process [GO:0090153]; response to endoplasmic reticulum stress [GO:0034976]; ribosome biogenesis [GO:0042254]; TORC1 signaling [GO:0038202]; TOR signaling [GO:0031929]; translational initiation [GO:0006413]	ATP binding [GO:0005524]; protein-containing complex binding [GO:0044877]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	cytoplasm [GO:0005737]; endosome membrane [GO:0010008]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; fungal-type vacuole membrane [GO:0000329]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; TORC1 complex [GO:0031931]; TORC2 complex [GO:0031932]
Q03774	tRNA (guanine-N7)-methylation [GO:0106004]; tRNA modification [GO:0006400]		cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; tRNA (m7G46) methyltransferase complex [GO:0106143]; tRNA methyltransferase complex [GO:0043527]
P35180	protein import into mitochondrial matrix [GO:0030150]; tRNA import into mitochondrion [GO:0016031]	mitochondrion targeting sequence binding [GO:0030943]	integral component of mitochondrial outer membrane [GO:0031307]; mitochondrial outer membrane [GO:0005741]; mitochondrial outer membrane translocase complex [GO:0005742]; mitochondrion [GO:0005739]
P40462	peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]; regulation of cytoplasmic translation [GO:2000765]; ribosome biogenesis [GO:0042254]	metalloaminopeptidase activity [GO:0070006]; nascent polypeptide-associated complex binding [GO:1990593]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; nascent polypeptide-associated complex [GO:0005854]
P38342	3-keto-sphinganine metabolic process [GO:0006666]; sphingolipid biosynthetic process [GO:0030148]	3-dehydrosphinganine reductase activity [GO:0047560]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; lipid droplet [GO:0005811]; mitochondrial outer membrane [GO:0005741]
P53177	tRNA methylation [GO:0030488]; tRNA modification [GO:0006400]; wybutosine biosynthetic process [GO:0031591]	tRNA methyltransferase activity [GO:0008175]	cytoplasm [GO:0005737]
P38168			endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P38214			
P39711			
P0CE99			
P53071			
Q12485	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
P53210		FMN binding [GO:0010181]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q05451			
Q04210	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; protein localization to endoplasmic reticulum exit site [GO:0070973]		endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q3E742			
A0A023PXG7			integral component of membrane [GO:0016021]
Q3E786			
O13576			
A0A023PXN3			
P40455			
A0A023PYD7			integral component of membrane [GO:0016021]
P39973			
Q3E765			integral component of membrane [GO:0016021]
P40544	cellular zinc ion homeostasis [GO:0006882]; zinc ion transmembrane transport [GO:0071577]; zinc ion transport [GO:0006829]	zinc ion transmembrane transporter activity [GO:0005385]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P0C5Q6			
A0A023PXI0			integral component of membrane [GO:0016021]
P0CF33	cell cycle [GO:0007049]; cell division [GO:0051301]; Ras protein signal transduction [GO:0007265]	guanyl-nucleotide exchange factor activity [GO:0005085]	
Q99208		ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	cytoplasm [GO:0005737]
Q12424	cation transport [GO:0006812]; cellular calcium ion homeostasis [GO:0006874]	cation transmembrane transporter activity [GO:0008324]	fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q8TGR5			
Q12426			
P36111			
Q2V2P1			
P38716	sulfur compound metabolic process [GO:0006790]; transsulfuration [GO:0019346]	carbon-sulfur lyase activity [GO:0016846]; cystathionine beta-lyase activity [GO:0004121]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P42947			
P38780			
P38319	DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; single strand break repair [GO:0000012]	3'-tyrosyl-DNA phosphodiesterase activity [GO:0017005]; 5'-tyrosyl-DNA phosphodiesterase activity [GO:0070260]; double-stranded DNA binding [GO:0003690]; exonuclease activity [GO:0004527]; single-stranded DNA binding [GO:0003697]	mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q04311	mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; nuclear protein quality control by the ubiquitin-proteasome system [GO:0071630]; ubiquitin-dependent ERAD pathway [GO:0030433]	aminoacyl-tRNA hydrolase activity [GO:0004045]; metal ion binding [GO:0046872]	Cdc48p-Npl4p-Vms1p AAA ATPase complex [GO:0036266]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]
P40438	Golgi to endosome transport [GO:0006895]; Golgi to vacuole transport [GO:0006896]; post-Golgi vesicle-mediated transport [GO:0006892]; protein targeting to vacuole [GO:0006623]	nucleotide binding [GO:0000166]; signal sequence binding [GO:0005048]	cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]
Q12363	maintenance of protein location in nucleus [GO:0051457]; negative regulation of chromatin silencing at telomere [GO:0031939]; negative regulation of silent mating-type cassette heterochromatin assembly [GO:0061186]; negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle [GO:0010674]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein import into nucleus [GO:0006606]	transcription corepressor activity [GO:0003714]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q03631	positive regulation of transcription from RNA polymerase II promoter in response to acidic pH [GO:0061402]	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q02767	ATP export [GO:1904669]; protein targeting to membrane [GO:0006612]; protein targeting to vacuole [GO:0006623]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]	protein-containing complex binding [GO:0044877]	cytosol [GO:0005829]; endosome [GO:0005768]; ESCRT I complex [GO:0000813]; late endosome membrane [GO:0031902]
P38186			integral component of membrane [GO:0016021]
Q96VH1			integral component of membrane [GO:0016021]
P38253			cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]
P39725			
P39959	cellular response to sulfur dioxide [GO:0071252]; regulation of cellular response to stress [GO:0080135]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; response to starvation [GO:0042594]	cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]	nucleus [GO:0005634]
P10356	biosynthetic process [GO:0009058]	2-aminoadipate transaminase activity [GO:0047536]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53132			
P53217	endoplasmic reticulum tubular network organization [GO:0071786]; membrane organization [GO:0061024]		cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P0C1Z1			
Q3E732			
Q06188	positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]	chromatin binding [GO:0003682]	cytosol [GO:0005829]; NuA3b histone acetyltransferase complex [GO:1990468]; NuA3 histone acetyltransferase complex [GO:0033100]; nucleus [GO:0005634]
Q06137	fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]; regulation of glycolytic process [GO:0006110]	6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]; fructose-2,6-bisphosphate 2-phosphatase activity [GO:0004331]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q8TGP1			
P53039	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]; vesicle fusion with Golgi apparatus [GO:0048280]; vesicle-mediated transport [GO:0016192]		COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of Golgi membrane [GO:0030173]
Q3E743			endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]
Q03208			cytoplasm [GO:0005737]
Q3E7Z4			integral component of membrane [GO:0016021]
Q8TGP9			integral component of membrane [GO:0016021]
Q3E766			
Q05016		carbonyl reductase (NADPH) activity [GO:0004090]; oxidoreductase activity [GO:0016491]; serine 3-dehydrogenase activity [GO:0031132]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q03899	protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	protein-macromolecule adaptor activity [GO:0030674]	SCF ubiquitin ligase complex [GO:0019005]; vacuole [GO:0005773]
Q03263	ammonium transport [GO:0015696]; borate transmembrane transport [GO:0035445]	ammonium transmembrane transporter activity [GO:0008519]; borate efflux transmembrane transporter activity [GO:0080139]	cell periphery [GO:0071944]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q03648		S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	integral component of membrane [GO:0016021]
Q12264			
Q3E7A2			
Q04597			
Q02203			integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
P47012			
P0C5M8			
Q8TGS0			integral component of membrane [GO:0016021]
Q08234		ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	cell periphery [GO:0071944]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]
P38146	Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; guanyl nucleotide binding [GO:0019001]	cytoplasm [GO:0005737]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; endomembrane system [GO:0012505]; endosome [GO:0005768]; fungal-type vacuole membrane [GO:0000329]; plasma membrane [GO:0005886]
Q06325	fungal-type cell wall organization [GO:0031505]	aspartic-type endopeptidase activity [GO:0004190]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q04436			
P53874	chromatin silencing at telomere [GO:0006348]; histone deubiquitination [GO:0016578]; protein deubiquitination [GO:0016579]; regulation of response to DNA damage stimulus [GO:2001020]; subtelomeric heterochromatin assembly [GO:0031509]; ubiquitin-dependent protein catabolic process [GO:0006511]	cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent deubiquitinase [GO:0004843]	chromosome, telomeric region [GO:0000781]; cytosol [GO:0005829]; nuclear replication fork [GO:0043596]; nucleolus [GO:0005730]; nucleus [GO:0005634]
P25037	negative regulation of protein autoubiquitination [GO:1905524]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent deubiquitinase [GO:0004843]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]
P22203	vacuolar acidification [GO:0007035]	proton-transporting ATPase activity, rotational mechanism [GO:0046961]; P-type proton-exporting transporter activity [GO:0008553]	fungal-type vacuole membrane [GO:0000329]; vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]
P53058			cell periphery [GO:0071944]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]
P53285	protein targeting to vacuole [GO:0006623]		endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]
P25577			membrane [GO:0016020]
P40022			cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0A023PXM2			
P53074			endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
P38746		ATPase activity [GO:0016887]; ATP binding [GO:0005524]; GTP binding [GO:0005525]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
O13562			integral component of membrane [GO:0016021]
A0A023PZD0			integral component of membrane [GO:0016021]
Q06251			cytoplasm [GO:0005737]
Q3E817			
P87268			
Q07950	cell wall mannoprotein biosynthetic process [GO:0000032]; lipid catabolic process [GO:0016042]; sterol metabolic process [GO:0016125]	sterol esterase activity [GO:0004771]	cell periphery [GO:0071944]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q04897			
P40355	N-glycan processing [GO:0006491]		
P47115			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q03629			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q08956	glycerol biosynthetic process [GO:0006114]		cytosol [GO:0005829]; nucleus [GO:0005634]
Q04706	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
I2HB70			endoplasmic reticulum [GO:0005783]
P47152			
Q6B2I9			integral component of membrane [GO:0016021]
Q12195			
P47132			
Q04893			
Q3E814			integral component of membrane [GO:0016021]
P47159		ATP binding [GO:0005524]; transmembrane transporter activity [GO:0022857]	fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]
Q07379		lipase activity [GO:0016298]	membrane [GO:0016020]
Q12528			integral component of membrane [GO:0016021]
Q07649			
P25650			
P38763	intracellular protein transport [GO:0006886]	ATP binding [GO:0005524]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	endomembrane system [GO:0012505]
A0A023PYE9			
Q07535			
P40895			
Q07629			cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]
Q12147			integral component of membrane [GO:0016021]
P40055	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; rRNA methylation [GO:0031167]		90S preribosome [GO:0030686]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, small subunit precursor [GO:0030688]; small-subunit processome [GO:0032040]
P39102	protein folding [GO:0006457]; protein import into mitochondrial matrix [GO:0030150]	ATPase activator activity [GO:0001671]; Hsp70 protein binding [GO:0030544]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]	integral component of mitochondrial outer membrane [GO:0031307]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P32319	Golgi to endosome transport [GO:0006895]; Golgi to vacuole transport [GO:0006896]; mitophagy [GO:0000423]; pexophagy [GO:0000425]; post-Golgi vesicle-mediated transport [GO:0006892]; protein targeting to vacuole [GO:0006623]; vacuolar transport [GO:0007034]; vesicle targeting, trans-Golgi to endosome [GO:0048203]	nucleotide binding [GO:0000166]; signal sequence binding [GO:0005048]	cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]
P0C5L2			integral component of membrane [GO:0016021]
P38161			
P38306			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q3E791			
P0CY01			integral component of membrane [GO:0016021]
Q3E815			integral component of membrane [GO:0016021]
Q8TGU1			
P43591	phosphorylation [GO:0016310]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; kinase activity [GO:0016301]	cytoplasm [GO:0005737]
P53242	negative regulation of gluconeogenesis [GO:0045721]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein catabolic process [GO:0030163]; protein catabolic process in the vacuole [GO:0007039]; protein targeting to vacuole [GO:0006623]; response to osmotic stress [GO:0006970]; response to starvation [GO:0042594]		extrinsic component of membrane [GO:0019898]; GID complex [GO:0034657]; vacuole [GO:0005773]
P39971			
O13544			integral component of membrane [GO:0016021]
P0C5M2			integral component of membrane [GO:0016021]
P40490			
P0CL37			integral component of membrane [GO:0016021]
P32843	mitochondrial genome maintenance [GO:0000002]; mRNA processing [GO:0006397]	RNA binding [GO:0003723]	integral component of mitochondrial inner membrane [GO:0031305]; mitochondrion [GO:0005739]
Q8TGR6			
P0C5N1			
P0C5P1			
P0C5P4			
Q3E7B5			
Q04215	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
P47174			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P25607			fungal-type vacuole [GO:0000324]; membrane [GO:0016020]
Q6B0R2			integral component of membrane [GO:0016021]
P36114			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q07530		oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	
Q07895	macroautophagy [GO:0016236]		extracellular space [GO:0005615]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
Q12082			mitochondrion [GO:0005739]
P0CY04			
Q99344	protein modification by small protein conjugation [GO:0032446]; protein neddylation [GO:0045116]	ATP binding [GO:0005524]; NEDD8 activating enzyme activity [GO:0019781]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0CF16	early endosome to late endosome transport [GO:0045022]; endocytic recycling [GO:0032456]	guanyl-nucleotide exchange factor activity [GO:0005085]; SNARE binding [GO:0000149]	cytosol [GO:0005829]; early endosome [GO:0005769]; late endosome [GO:0005770]; plasma membrane [GO:0005886]; transport vesicle [GO:0030133]; tubular endosome [GO:0097422]
P38349	sporulation resulting in formation of a cellular spore [GO:0030435]; ubiquitin-dependent protein catabolic process [GO:0006511]		endoplasmic reticulum [GO:0005783]; nuclear envelope [GO:0005635]
P40463	cellular bud neck septin ring organization [GO:0032186]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]		cytoplasm [GO:0005737]
P53853	double-strand break repair via nonhomologous end joining [GO:0006303]; nucleosome assembly [GO:0006334]; positive regulation of histone acetylation [GO:0035066]; positive regulation of histone H3-K9 acetylation [GO:2000617]; protein transport [GO:0015031]	acetyltransferase activator activity [GO:0010698]; chromatin binding [GO:0003682]; histone binding [GO:0042393]; identical protein binding [GO:0042802]	cytosol [GO:0005829]; nucleus [GO:0005634]
Q3E794			
Q8TGQ0			integral component of membrane [GO:0016021]
P38216			cellular bud membrane [GO:0033101]; mating projection membrane [GO:0070250]; plasma membrane [GO:0005886]
D6VPM8			integral component of membrane [GO:0016021]
P32386	calcium ion transport [GO:0006816]; monocarboxylic acid transport [GO:0015718]; transmembrane transport [GO:0055085]	ATPase-coupled monocarboxylic acid transmembrane transporter activity [GO:0033285]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q8TGK4			
P38327			integral component of membrane [GO:0016021]
P0C5P9			
P0CL38			integral component of membrane [GO:0016021]
P38616	cell wall assembly [GO:0070726]		extracellular region [GO:0005576]
Q06493	cellular metal ion homeostasis [GO:0006875]; potassium ion transport [GO:0006813]; protein insertion into mitochondrial inner membrane from matrix [GO:0032979]; proton transmembrane transport [GO:1902600]	ribosome binding [GO:0043022]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P0CX62	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
O94085			integral component of membrane [GO:0016021]
P0C5N4			
P53265	regulation of cell size [GO:0008361]		cytoplasm [GO:0005737]; nucleus [GO:0005634]
P38727			integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P0C5L8			
P53209			endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]
P0C5L9			
P36153			
A0A023PXM7			integral component of membrane [GO:0016021]
Q02896	ceramide biosynthetic process [GO:0046513]; ceramide catabolic process [GO:0046514]	dihydroceramidase activity [GO:0071633]; phytoceramidase activity [GO:0070774]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; integral component of endoplasmic reticulum membrane [GO:0030176]
Q7LHG5	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P36072			
