Majority protein IDs	Gene names	Q-value	Score	Ratio H/L AP4B1KO_02_03K	Ratio H/L AP4B1KO_02_06K	Ratio H/L AP4B1KO_02_12K	Ratio H/L AP4B1KO_02_24K	Ratio H/L AP4B1KO_02_80K	Ratio H/L AP4B1KO_03_03K	Ratio H/L AP4B1KO_03_06K	Ratio H/L AP4B1KO_03_12K	Ratio H/L AP4B1KO_03_24K	Ratio H/L AP4B1KO_03_80K	Ratio H/L AP4E1KO_02_03K	Ratio H/L AP4E1KO_02_06K	Ratio H/L AP4E1KO_02_12K	Ratio H/L AP4E1KO_02_24K	Ratio H/L AP4E1KO_02_80K	Ratio H/L AP4E1KO_03_03K	Ratio H/L AP4E1KO_03_06K	Ratio H/L AP4E1KO_03_12K	Ratio H/L AP4E1KO_03_24K	Ratio H/L AP4E1KO_03_80K	Ratio H/L WtHeLa_02_03K	Ratio H/L WtHeLa_02_06K	Ratio H/L WtHeLa_02_12K	Ratio H/L WtHeLa_02_24K	Ratio H/L WtHeLa_02_80K	Ratio H/L WtHeLa_03_03K	Ratio H/L WtHeLa_03_06K	Ratio H/L WtHeLa_03_12K	Ratio H/L WtHeLa_03_24K	Ratio H/L WtHeLa_03_80K	Reverse	Potential contaminant
O95905;O95905-3;O95905-2	ECD	0.0	34.013000000000005	0.86434	1.1116	0.65198	0.56396	0.54513	0.89928	0.90328	0.58375	0.45203999999999994	0.6819	0.9786600000000001	1.0989	0.46846000000000004		0.53914	0.8845	0.8327399999999999	0.5607800000000001	0.45961	0.75076	0.6451100000000001	0.89633	0.54267	0.41136000000000006	0.52415	1.0106	0.85245	0.58165	0.55719	0.8388899999999999		
O95926;O95926-2	SYF2	0.0	95.64200000000001	0.5087	1.2641	1.1793	0.7691	0.66772	0.45888	0.92865	1.3272	0.94889	0.61423	0.57099	0.61587	0.86777	0.7014199999999999	0.49958	0.6277	0.89651	1.1609	0.74817	0.67388	1.3396	0.8997299999999999	0.8759899999999999	0.65136	0.5787399999999999	0.37306999999999996	0.69296	1.4378	0.7114699999999999	0.75861		
O95980	RECK	0.0	81.488	0.64941	0.69115	0.64675	1.7673	4.7532	0.80815	0.87377	0.76585	1.9272	5.3467	0.75303	0.66635	0.79371	1.5374	2.6575	0.73642	0.75489	0.8312		7.0061	0.7298	0.7136899999999999	0.7279100000000001	1.6416		0.74842	0.62143	0.95045	2.5573	1.101		
O95983;O95983-2	MBD3	0.0	22.283	0.113					0.563			0.9789899999999999	0.29648											0.43346999999999997					0.11864000000000001						
O95985;O95985-3;O95985-2	TOP3B	0.0	323.31	3.1727	1.6799	0.66068	0.43096	0.42853	3.0533	1.7932	0.7361300000000001	0.44518	0.47176	2.8109	1.6817	0.64746	0.46393	0.45235	3.4526	1.6393	0.7360399999999999	0.5120600000000001	0.46083999999999997	3.0460000000000003	1.5415	0.5834199999999999	0.43513	0.45516	2.8089999999999997	1.6729	0.80891	0.48822	0.41941000000000006		
O95989	NUDT3	0.0	7.5838				0.17295	8.4	0.52282		0.37204	0.52399							0.64804							0.15155			0.46743999999999997			0.59023	0.80697		
O95994	AGR2	0.0	54.433	1.2116	0.5484100000000001	0.75567	2.3693	7.4645	1.2583	0.5135	0.65018	1.9280000000000002	8.2016	0.73685	0.3991	0.7330800000000001	2.7881		1.0948	0.45326000000000005	0.80647	1.307	6.746	0.8768100000000001	0.47591000000000006	0.75713	2.8710000000000004	1.9683	1.1683	0.49349	0.99049	2.9631	2.1966		
O95995;O95995-2	GAS8	0.0	16.724			0.42581	0.59878	2.861	0.8854299999999999	0.53715	0.89266	1.4266	0.3631	1.103	1.0333	0.5262	0.36054	0.45658000000000004			1.0649	0.7581	2.219	2.0701	1.1641	0.7864399999999999	1.07	0.3877		0.48481	0.83368	4.0706	0.19498		
O95997;Q9NZH4	PTTG1;PTTG3P	0.0	6.6066	2.5305	2.0818	0.9843	0.53459	0.48811000000000004	2.7761	1.9734	1.1569	0.5635	0.5604100000000001	2.3608	1.9341	0.72442	0.44232	0.42107	2.2089	1.7691	0.73473	0.47468999999999995	0.35739	1.8624	1.6386	0.6575300000000001	0.36262	0.42338000000000003	2.7173	1.5881	0.67105	0.41731	0.36241999999999996		
O95999	BCL10	0.0	9.5705		0.4544	0.39289	0.26946				0.40199		0.8694799999999999	0.47253999999999996	0.58102	0.21625								0.69972		0.2257	0.32319000000000003	0.35076999999999997			0.49166000000000004	0.39405999999999997			
O96000;O96000-2	NDUFB10	0.0	246.27	0.45769	0.56048	7.8123	26.967	39.523	0.43453	0.6574800000000001	8.4102	22.502	5.3247	0.3536	0.59231	7.7582	30.92	13.735	0.42223	0.6089899999999999	3.9824	17.145	29.136999999999997	0.34592	0.56129	7.2465	21.69	33.707	0.39053000000000004	0.55987	7.5841	22.611	36.673		
O96005;O96005-4;O96005-3	CLPTM1	0.0	323.31	1.1268	0.52947	0.55161	1.6203	5.3309	1.1706	0.5532199999999999	0.58412	1.508	5.4072	0.92895	0.47834	0.67362	2.0707	6.4203	1.0315	0.5242	0.66374	1.9895	5.1688	0.9417399999999999	0.45451	0.60672	1.8473	6.3354	0.92995	0.47355	0.76627	1.9069	5.2827		
O96006	ZBED1	0.00027755	4.2796	0.20835			0.53984		0.52455	1.0262	0.37084	0.9126700000000001	1.1909	0.36532			0.51485		0.36274		0.72953		0.7037899999999999						0.57455	0.9325600000000001		0.81482	0.67391		
O96008;O96008-2	TOMM40	0.0	323.31	0.4355	0.58795	7.0029	18.221	31.084	0.42344	0.61503	6.0787	14.252	10.927	0.3339	0.6193	8.7676	19.756	46.027	0.3976	0.63025	6.8995	5.0692	6.5903	0.33564	0.58822	6.6758	15.642999999999999	34.281	0.37175	0.5837399999999999	8.5403	10.085	7.2024		
O96011;O96011-2	PEX11B	0.0	95.26700000000001	1.3928	0.48363999999999996	0.65645	2.9739999999999998	16.02	1.4112	0.55002	0.6415	2.6674	14.328	1.1937	0.47981999999999997	0.64593	2.4445	9.862	1.3097	0.49742	0.66537	2.3595	16.29	1.0953	0.46412	0.6178100000000001	2.8671	15.312000000000001	1.1767	0.49972	0.8477399999999999	2.8989999999999996	9.3913		
O96013;O96013-4;O96013-2;O96013-3	PAK4	0.0	245.63	2.2943	1.7932	0.73247	0.51283	0.45758999999999994	2.5087	1.9608	0.8848	0.52193	0.49295	2.5854	1.9533	0.6665300000000001	0.46085	0.44806999999999997	2.1326	1.6623	0.7713800000000001	0.45677	0.44714	2.5438	1.7295	0.5656899999999999	0.42383999999999994	0.41712	2.7521	1.5313	0.78269	0.49945	0.43204		
O96017;O96017-9;O96017-12;O96017-8;O96017-13;O96017-7;O96017-4	CHEK2	0.00027552	4.0185			0.9070600000000001	0.5745600000000001	0.55943	0.74198		0.5090100000000001	0.7609600000000001	0.70162					0.68687	0.52177	0.70192	0.60835	0.5806600000000001	0.70052				0.36609	0.47694	0.7218899999999999	0.7852100000000001	0.70362	0.70276	0.36480999999999997		
O96018	APBA3	0.00027319	3.7265	0.27836					0.30990999999999996	0.75293				0.34544	0.7745					0.46812										0.62816					
O96019;O96019-2	ACTL6A	0.0	195.88	0.18520999999999999	1.014	0.7669699999999999	0.6154	0.7902399999999999	0.60302	1.5163	1.1964	1.1593	1.6277	0.42091000000000006	1.2601	0.69768	0.6228	0.72895	0.34425	0.99577	0.70878	0.6651699999999999	0.93675	0.45737	1.2354	0.75483	0.63348	0.98513	0.5059100000000001	1.2766	1.2099	0.85067	1.1831		
O96028;O96028-5;O96028-3	WHSC1	0.0	10.565999999999999	0.31729	0.6206699999999999	2.1956		0.19107000000000002	0.98131	0.85298			0.28194	0.33716999999999997	0.5659	9.2436		0.22286999999999998	0.48416000000000003	0.73141	2.0354	1.5168	0.2317	0.39576999999999996	0.53237	1.9349	1.2441	2.022	0.41402	0.67833	3.0274	1.788	0.25525		
P00156	MT-CYB	0.0	7.0163	0.61603	0.71007				1.0696	2.1655	11.104000000000001	16.204		0.41968999999999995	0.65271				1.3838	0.6252	22.971999999999998	11.299000000000001		0.47848999999999997	0.77067	13.977			0.52208	1.3299	8.6646	11.526			
P00338;P00338-3;P00338-4;P00338-2;P00338-5	LDHA	0.0	286.73	0.54618	0.45583	0.41103	0.44287	0.8449	0.56296	0.46787	0.37189	0.5836	1.0703	0.49863999999999997	0.43813	0.39886	0.43408	0.76765	0.58087	0.45937	0.45391000000000004	0.59058	1.0874	0.50189	0.38435	0.31133	0.30914	0.6917	0.5798300000000001	0.44258000000000003	0.44792	0.4636	0.9222299999999999		
P00367;P00367-3;P00367-2;P49448	GLUD1;GLUD2	0.0	323.31	0.49501000000000006	0.6061300000000001	5.4573	7.6393	8.1072	0.46101000000000003	0.64751	5.7427	7.7036	9.9436	0.38669000000000003	0.61393	5.8196	6.9143	7.9837	0.46171	0.62068	5.2151	6.7691	7.7399	0.40234000000000003	0.57675	4.8343	7.1697	8.9985	0.43508	0.58886	5.3831	6.3821	6.6665		
P00374;P00374-2	DHFR	0.0	23.695	0.32097	0.49153	0.2776	0.26499	0.4357	0.353	0.46508	0.31816	0.40018000000000004	0.5838300000000001	0.37338000000000005	0.41999	0.33483	0.26955999999999997	0.46829	0.40304	0.68447	0.40758	0.37005	0.73679	0.35326	0.19099000000000002	0.2812	0.2036	0.43553000000000003	0.54785	0.43606000000000006	0.44259	0.32175	0.52157		
P00387;P00387-2;P00387-3	CYB5R3	0.0	323.31	0.77682	0.49422	0.79515	2.2662	7.1119	0.81582	0.56108	0.72085	1.9885	7.4074	0.64015	0.46995	0.86659	2.8055	8.0141	0.72653	0.50069	0.86255	2.7313	7.9697	0.63388	0.47036000000000006	0.81662	2.6174	8.1742	0.67142	0.48649	1.0516	3.1721	7.3483		
P00390;P00390-2;P00390-3;P00390-4;P00390-5	GSR	0.0	323.31	0.46276000000000006	0.58238	2.1075	2.2297	4.0829	0.43343000000000004	0.61178	1.7336	2.2805	4.1827	0.35693	0.57799	1.9821	2.3396	3.9905	0.44931000000000004	0.5847899999999999	2.2484	2.8394	4.9554	0.36896999999999996	0.53674	1.8211	1.7239	3.7928	0.4326	0.5563	2.256	2.165	4.4822		
P00395	MT-CO1	0.0	9.3718	0.52336	0.64573	10.253	38.988	46.736999999999995	0.48158	0.71736	8.9297	24.513	35.924	0.33649	0.5979899999999999	8.8836	32.395	17.397000000000002	0.50983	0.64008	7.4626	23.573	33.312	0.37925	0.62274	8.1254	22.285999999999998	31.076	0.4723	0.72659	9.3559	27.706999999999997	23.612		
P00403	MT-CO2	0.0	144.19	0.46685	0.5925	8.2714	27.791	37.801	0.42728999999999995	0.6177199999999999	4.551	8.1817	24.486	0.3562	0.72273	7.6405	26.250999999999998	14.86	0.43443000000000004	0.64439	5.9979	8.856	12.753	0.36257	0.5655399999999999	6.7079	6.985	19.417	0.43055	0.6071300000000001	8.4085	7.3451	27.919		
P00414	MT-CO3	0.0	40.047	0.48278000000000004	0.69047	9.681000000000001	31.368000000000002	50.343	0.45355	0.7871600000000001	6.9755	23.224	23.328000000000003	0.36478	0.68786	8.2349	35.358000000000004	55.894	0.46965	0.63805	7.672999999999999	17.863	26.313000000000002	0.42568	0.64002	9.3484	38.546		0.48618	0.60307	9.4493	32.066	29.548000000000002		
P00441	SOD1	0.0	190.72	0.34888	0.41	0.28733000000000003	0.2619	0.54166	0.35445	0.38086	0.23206999999999997	0.32966999999999996	0.64957	0.2891	0.33866999999999997	0.27071999999999996	0.24752	0.49238000000000004	0.39432	0.39071999999999996	0.29485	0.34521999999999997	0.72059	0.35212	0.29855	0.22562	0.1851	0.45756	0.40118000000000004	0.43546999999999997	0.33721	0.31856999999999996	0.7428100000000001		
P00491	PNP	0.0	130.14	0.36906	0.43146999999999996	0.30558	0.25435	0.56194	0.38263	0.43811000000000005	0.25267	0.31888	0.6147	0.34649	0.3605	0.3091	0.28331999999999996	0.50946	0.38842	0.40641	0.33957	0.38452	0.74315	0.34134000000000003	0.32897	0.2134	0.19848	0.45705	0.38369000000000003	0.36711	0.35565	0.30745	0.67037		
P00492	HPRT1	0.0	107.16	0.36807	0.49435	0.28584	0.26011	0.55266	0.35193	0.38722	0.23915	0.331	0.69633	0.37824	0.42578999999999995	0.3177	0.29216	0.59972	0.39471999999999996	0.39784	0.31934	0.45135	0.78237	0.32082	0.36095	0.20247	0.16624	0.47581	0.42318999999999996	0.41203999999999996	0.33571999999999996	0.31882	0.64493		
P00505;P00505-2	GOT2	0.0	323.31	0.44121000000000005	0.56281	11.074000000000002	33.309	44.202	0.4047	0.62497	11.125	29.787	34.211999999999996	0.35161	0.57411	12.15	36.207	41.086999999999996	0.42091000000000006	0.58227	9.1275	22.791999999999998	29.862	0.36339	0.53966	8.8172	31.141	41.037	0.39342	0.5582199999999999	9.1305	26.531999999999996	32.275999999999996		
P00519;P00519-2	ABL1	0.0	160.98	1.0153	1.6037	0.9187	0.74162	0.52137	1.2874	1.8718	1.1558	0.75143	0.61944	1.2168	1.8012	0.8472799999999999	0.58875	0.53458	1.0292	1.7021	0.8210299999999999	0.52617	0.5252899999999999	1.4207	1.5991	0.6906399999999999	0.58333	0.5322399999999999	1.5241	1.4698	0.72412	0.67872	0.47694		
P00533;P00533-4;P00533-3	EGFR	0.0	323.31	0.60551	0.6129899999999999	0.7386	1.6613	5.2977	0.64984	0.68258	0.8224100000000001	1.6616	5.6288	0.60388	0.67298	0.72185	1.6361	5.5375	0.6343	0.63551	0.69965	1.5057	4.3816	0.68992	0.6792199999999999	0.6621	1.6595	6.1769	0.6560699999999999	0.6731699999999999	0.9323899999999999	2.0323	5.3277		
P00558;P00558-2	PGK1	0.0	323.31	0.50568	0.65574	0.45824	0.41546000000000005	0.59301	0.53938	0.6379199999999999	0.42698	0.4778	0.6824100000000001	0.49856000000000006	0.61059	0.42103	0.39278	0.53136	0.5212100000000001	0.56499	0.48058999999999996	0.49153	0.67197	0.57809	0.57839	0.36722	0.31986	0.56425	0.6249899999999999	0.6208	0.50175	0.43075	0.63168		
P00568	AK1	0.0	93.384	0.56924	0.64845	0.41297	0.34711	0.6391899999999999	0.51713	0.63351	0.41472	0.43456999999999996	0.76507	0.51053	0.55991	0.46287	0.33708	0.7266699999999999	0.5725600000000001	0.56703	0.45975	0.5051899999999999	0.81317	0.5139	0.52654	0.29558	0.2465	0.55637	0.5451600000000001	0.5314399999999999	0.46731999999999996	0.42146999999999996	0.7109300000000001		
P00751;P00751-2	CFB	0.0014377	2.171		0.44987																														
P00813	ADA	0.0	26.373	0.57743	0.42263	0.4392	0.28949	0.79845	0.33398	2.327	0.30141999999999997	0.33928	0.53866	0.34195	0.60511			0.45433999999999997	0.41725	0.90486	0.34398	0.28688	6.268		0.32435	0.34309	0.22129000000000001	0.34388	0.32916999999999996	0.35764	0.22025999999999998	0.36096999999999996			
P00846	MT-ATP6	0.0	6.662000000000001	0.47643	0.64232	11.533	29.802	51.593999999999994	0.44593999999999995	0.66847	10.015	23.883000000000003	35.927	0.37719	0.68334	10.772	34.272	48.868	0.44756999999999997	0.69701	9.5844	27.244	32.405	0.39661	0.6695300000000001	9.379	32.143	45.101000000000006	0.42433999999999994	0.7004100000000001	11.174000000000001	26.730999999999998	35.586		
P00966	ASS1	0.0	323.31	0.67372	0.77835	0.51726	0.42073	0.5350199999999999	0.6612399999999999	0.7381	0.46595	0.47839	0.61383	0.63247	0.67685	0.44298000000000004	0.4038	0.47928000000000004	0.73556	0.7056100000000001	0.53866	0.53247	0.6370899999999999	0.6995	0.64386	0.41276999999999997	0.32263000000000003	0.48143	0.75947	0.7107	0.5545800000000001	0.4536	0.58198		
P00973-3;P00973;P00973-2;P00973-4	OAS1	0.0	46.04	1.9843	1.5587	0.7379100000000001	0.5046	0.5361100000000001	1.9340000000000002	1.7061	0.9738	0.62263	0.61326	1.6031	1.5346	0.62667	0.50176	0.4443	1.4317	1.2631	0.8336100000000001	0.5724	0.45511999999999997	1.9766	1.6302	0.62934	0.4294	0.55519	1.3256	1.4609	0.9447399999999999	0.4923	0.40323000000000003		
P01008	SERPINC1	1.0	-2.0																												1.2515				
P01024	C3	0.0	28.962		0.49041999999999997			0.48927	6.1059	0.5851	0.75805	0.60916	0.51652							0.5525800000000001	6.9958	0.55392	0.43521000000000004	1.0135	0.5038199999999999	0.62408			0.91609	0.51493	0.8898799999999999	0.52499	1.0753		
P01033	TIMP1	0.0	150.78	0.74202	0.75795	0.80208	1.3251	2.7085	1.0367	0.8065899999999999	0.96449	1.4307	3.4913	0.70197	0.59964	0.77915	1.5604	2.4999	0.87039	0.60549	0.78105	1.6153	2.8823	0.73397	0.73537	0.8011699999999999	1.4969999999999999	3.2261	0.8149	0.66371	0.98905	1.6305	2.9712		
P01034	CST3	0.0	36.461	0.8478700000000001	0.61219	0.8569200000000001	1.8182	2.9025	1.067	0.71336	0.8261299999999999	1.581	3.9033	0.95542	0.44072	0.84544	1.8595	3.2347	0.85829	0.46813999999999995	0.6674800000000001	1.492	2.2297	0.82701	0.55587	0.77042	1.6961	3.5136	0.84457	0.55273	0.91169	1.5578			
P01040	CSTA	0.00014215	5.3587	0.16594					0.18037			0.34658													0.34318000000000004		0.2581								
P01111	NRAS	0.0	90.145	0.4962	0.6161	0.86365	1.9692	4.5947	0.51649	0.65988	0.91427	1.8486	5.3525	0.52556	0.66142	0.75063	1.7480000000000002	4.2194	0.56421	0.65542	0.7568600000000001	1.5921	3.7425	0.5826	0.7056899999999999	0.74038	1.6629	4.7432	0.6139899999999999	0.71507	1.0996	1.9567	4.7536		
P01112;P01112-2	HRAS	0.0	140.42	0.44876000000000005	0.5896100000000001	0.79343	1.6717	4.5204	0.63022	0.6802	0.9354600000000001	1.9693	5.7205	0.49326000000000003	0.65678	0.80116	1.685	4.2784	0.60934	0.68521	0.78003	1.7078	4.9775	0.59282	0.63746	0.71117	1.6482	5.1579	0.63268	0.72122	1.0346	2.1949	5.2949		
P01116	KRAS	0.0052443	1.5748	0.43886000000000003	0.36277	0.74487	2.9853			0.68223	1.077			0.33058000000000004		0.71945	1.5241		0.50944		0.78081	1.8341				0.7428			0.60135	0.70228	1.005		3.6679		
P01116-2	KRAS	0.0	70.638	0.63515	0.67773	0.8265399999999999	2.0302	6.8198	0.60144	0.72313	0.8921	1.7418	6.2904	0.54889	0.70612	0.7520600000000001	1.8943	5.6368	0.62778	0.6865	0.79885	1.68	5.1046	0.6682899999999999	0.6469699999999999	0.71015	1.6794	5.9763	0.6310600000000001	0.61716	1.044	2.718	2.9499		
P01130;P01130-5;P01130-4;P01130-3;P01130-6;P01130-2	LDLR	0.0	323.31	1.4651	1.1614	0.60728	0.65661	0.7254	1.6695	1.1922	0.67766	0.56175	0.7238399999999999	1.402	1.0526	0.58399	0.64979	0.6896800000000001	1.3835	1.0005	0.67689	0.71967	0.75234	1.3669	1.0231	0.50548	0.6321100000000001	0.8055	1.4284	0.9979100000000001	0.68587	0.7094600000000001	0.76449		
P01137	TGFB1	0.0	151.45	1.1538	0.5076	0.59831	1.7409999999999999	2.9845	1.2331	0.52686	0.617	1.4884	3.7914	0.95524	0.42857	0.74058	1.83	2.9526	1.1016	0.4761	0.71341	1.6398	2.9856	0.9826299999999999	0.46318000000000004	0.70749	1.8987	4.0707	0.95211	0.48438000000000003	0.9127700000000001	2.1947	2.6972		
P01344;P01344-2;P01344-3	IGF2	0.0	28.686999999999998						0.10910999999999998	0.38741	0.22000999999999998	0.069971	0.053685000000000004						0.22049000000000002	0.038169999999999996		0.080586						0.081237	0.13789	0.21955999999999998	0.086982				
P01834	IGKC	0.0002762	4.1073																																
P01857	IGHG1	0.00080118	2.778																						0.23349										
P01891;P30459;P16189;P16190;P30512;P10314	HLA-A	0.0	323.31	0.56199	0.56657	0.67386	1.545	4.4036	0.6403800000000001	0.63784	0.7498100000000001	1.5873	4.875	0.6200399999999999	0.6833100000000001	0.71682	1.6004	4.695	0.70477	0.66745	0.70168	1.4606	3.8326	0.6615	0.63475	0.62349	1.5126	4.726	0.68366	0.69368	0.9247700000000001	1.9361	5.0446		
P68871;P02042	HBB;HBD	0.0014357	2.1266																																
P02452	COL1A1	0.0010592000000000002	2.5669999999999997																		0.47636999999999996							0.60733				0.51463	0.36029		
P02458;P02458-1;P02458-3	COL2A1	0.0	17.745	1.344	0.49978999999999996	0.5859	2.2944	9.0563	1.2642	0.60255	0.64382	2.2088	3.1873	0.98855	0.2777	0.35129	0.19485999999999998	0.18592999999999998	1.0385	0.40647	0.8153699999999999	1.5196		0.91333	0.18370999999999998	0.66981	2.4502	0.43157	0.86198	0.44278999999999996	0.26948	3.6185	8.2949		
P02462;P02462-2	COL4A1	0.0	134.69	0.83572	0.46525	0.81392	3.3110000000000004	10.793	0.9436899999999999	0.4726	0.70014	2.6492	31.250999999999998	0.7127	0.45766	0.9842	4.0052	14.338	0.78112	0.43265	0.8335899999999999	3.2548	8.5362	0.6977899999999999	0.41521	0.9230799999999999	3.205	10.618	0.66164	0.4269	1.0464	3.4073	7.9658		
P02545;P02545-6;P02545-3;P02545-4	LMNA	0.0	323.31	0.16484000000000001	1.1015	0.87971	1.128	2.0198	0.6823600000000001	2.105	1.6103	1.642	3.4865	0.32344	1.2849	0.88326	1.3022	2.6502	0.30632	1.0317	0.75359	0.8657	1.729	0.51612	1.2188	0.88635	1.3305	3.0128	0.56201	1.3513	1.3225	1.5689	2.6674		
P02545-2	LMNA	0.0	16.903									1.7383		0.27656					0.30189		0.72569	0.54202								0.7801100000000001	1.0852	1.1222			
P02545-5	LMNA	1.0	-2.0																																
P02585	TNNC2	1.0	-2.0																																
P02649	APOE	1.0	-2.0						0.5769																										
P02656	APOC3	0.0	88.648			0.02725	0.022762	0.067416	0.013791	0.01414	0.010686	0.010795	0.018636				0.07710499999999999	0.050736			0.016783000000000003	0.021327000000000002		0.044233999999999996	0.012176000000000001	0.024048	0.17285999999999999	0.015028999999999999			0.012782	0.014827000000000002	0.0056741000000000005		
P02686;P02686-2	MBP	0.0	92.82799999999999	0.51803	0.6782600000000001	0.9659200000000001	1.3769999999999998	4.0757	0.64951	0.6836300000000001	1.0004	1.6302	4.5988	0.56287	0.5978	1.1047	1.5886	4.4638	0.58691	0.7340300000000001	1.0783	1.7328	2.1616	0.5122899999999999	0.77237	0.81329	1.7001	3.1295	0.45458000000000004	0.6603	0.92496	1.5822	2.3564		
P02751;P02751-5;P02751-12;P02751-10;P02751-6;P02751-9;P02751-14;P02751-13;P02751-8;P02751-17;P02751-3;P02751-11;P02751-7;P02751-15;P02751-4	FN1	0.0	32.482	0.29344000000000003			0.6853100000000001	0.093361	0.33388	0.20792	0.6413	0.27975	0.27676	0.079672	0.11152000000000001	0.50953	2.4102	0.044626	0.038444	0.62097	0.2551			0.36685	0.081944	0.16238	1.192	0.41522	0.084992	0.12187	0.23208	0.14056	0.11237		
P02778	CXCL10	1.0	-2.0					0.032414																											
P02786	TFRC	0.0	323.31	1.588	1.1443	0.60719	0.6863100000000001	0.8156	1.6143	1.2107	0.67552	0.62411	0.9209200000000001	1.3749	1.1081	0.5547300000000001	0.62342	0.75085	1.5314	1.0762	0.68575	0.73459	0.87721	1.5816	0.9909399999999999	0.48183000000000004	0.58683	0.8680399999999999	1.5317	1.0566	0.6872699999999999	0.72914	0.8587100000000001		
P02792	FTL	0.0	70.411	2.1176	0.51777	0.6262300000000001	3.2603	5.5675	1.9105	0.7005600000000001	0.80156	2.6324	5.8037	1.2985	0.47897	0.5110100000000001	1.3156	4.7226		0.49067	0.81563		1.4847	1.7327	0.4014	0.49065	1.4423	5.7481	1.5278	0.40653	0.6016600000000001	1.7530000000000001	3.63		
P02794	FTH1	0.0	154.37	2.0277	0.5362399999999999	0.64217	2.154	4.2205	2.1348	0.6844899999999999	0.7600600000000001	1.8005	3.5528	1.4276	0.48662	0.51079	1.0987	1.743	1.4466	0.5421100000000001	0.54847	0.9087799999999999	1.5256	1.7019	0.41872	0.51097	1.1762	5.0593	1.4787	0.40892	0.6029	1.1593	3.4327		
P02795;P13640;P13640-2	MT2A;MT1G	0.0	27.741	0.34231999999999996	0.38069000000000003	0.24231999999999998	0.23817	0.51886	0.3724	0.38398000000000004	0.19334	0.25385	0.45493999999999996	0.31262	0.33557	0.23385	0.23159000000000002	0.44087	0.37126	0.33949	0.29699000000000003	0.32265	0.62775	0.18772	0.27197	0.17178	0.16059	0.40376999999999996	0.39701	0.3365	0.24115	0.2568	0.6393300000000001		
P03886	MT-ND1	0.007481600000000001	1.4068						0.27242	0.34564				0.32811999999999997					0.3323	0.6380899999999999									0.48973	0.46405			2.2288		
P03897	MT-ND3	0.0	6.2828	0.37796	0.57139	9.656			0.39121999999999996	0.57628	11.213	18.070999999999998	14.369000000000002	0.33596	0.63426	8.9702		47.299	0.40597	0.60858	7.3462		13.287	0.34546	0.5414800000000001	5.0944	36.461999999999996		0.38956	0.57312	8.3739		10.845		
P03905	MT-ND4	0.0	21.302	0.51886	0.6308600000000001	13.668	41.257	33.794000000000004	0.41491000000000006	0.6612399999999999	8.0125	21.019000000000002	31.803	0.35795	0.6069	11.367	31.79		0.44108	0.70189	6.8697	19.3	30.653000000000002	0.33395	0.58367	8.9322	27.715		0.40700000000000003	0.5948899999999999	8.8233	25.151	31.009		
P03915	MT-ND5	0.0	323.31	0.4574	0.57415	8.5832	24.686	10.139	0.39364	0.61569	9.6267	20.613000000000003	34.148	0.34994000000000003	0.6059	9.9143	21.041	23.557	0.40724	0.54801	7.9818	18.57	39.878	0.3368	0.52068	8.019	24.802	24.461	0.39651	0.59428	8.943999999999999	20.079	20.642		
P03923	MT-ND6	0.0	21.646						0.51261	0.6995				0.22955					0.57892	0.8270200000000001				0.26306		3.4384			1.1685	0.87069					
P03928	MT-ATP8	0.0	23.605	0.47252	0.66586	13.444		5.1603	0.41645	0.6584800000000001	8.177	19.74	29.428	0.34986999999999996	0.63246	12.042	3.2951	4.4115	0.41363999999999995	0.65737	8.2822	12.45	29.395	0.2787	0.48656000000000005	3.8689	20.771	4.6766	0.38668	0.61948					
P03973	SLPI	0.0	23.881	0.8399200000000001	0.72706	0.7472300000000001	1.6034	2.1041	1.0781	0.9801	0.8376299999999999	1.2312	1.8149	0.8692799999999999	0.60815	0.8157399999999999	1.7302	1.952	0.8444	0.70023	0.76923	1.4972	2.8875	0.75012	0.55279	0.7208399999999999	1.5141	3.4386	1.0452	0.69657	1.1352	2.5985	1.8667		
P04004	VTN	0.0	26.238000000000003	0.92464	0.43711000000000005	0.66238	1.8352	3.6111	1.1384	0.47828999999999994	0.7216	1.6088	1.8716	0.92022	0.61798	0.7673800000000001	1.9157	2.8047	1.149	0.61428	0.80914	1.7361	3.1204	0.76867	0.4804	0.59677	1.4281	2.6989	0.7541399999999999	0.51745	0.6897	1.5101	2.4307		
P04035;P04035-3;P04035-2	HMGCR	0.0	29.846	1.0429	0.42872	0.71026	2.8891		1.8811	0.38453000000000004	0.76466	2.3222	4.0597	1.3207		0.48193	2.8297	2.3436	1.3509	0.56487	1.7391			0.70334	0.5169699999999999	0.7482300000000001	2.2776	2.6989	0.87984	0.45608000000000004	0.62557	1.6024			
P04040	CAT	0.0	323.31	1.2997	0.45968000000000003	0.64727	2.8444	15.552999999999999	1.3055	0.50344	0.61805	2.8293	20.069000000000003	1.1117	0.45816	0.67906	2.6275	14.365	1.3308	0.49959	0.66572	2.3422	13.538	1.0622	0.4258	0.59613	2.628	12.958	1.0906	0.46901000000000004	0.81588	3.0266	14.705		
P04062;P04062-4;P04062-2;P04062-5;P04062-3	GBA	0.0	171.86	1.9137	0.44388999999999995	0.65504	3.1647	7.8071	1.8019	0.44863000000000003	0.6399699999999999	2.8941	8.3221	1.541	0.45403999999999994	0.55809	2.2079	5.9944	1.6141	0.45795	0.63365	2.4416	6.4155	1.4837	0.39631	0.5301	2.0704	8.0329	1.5678	0.42882	0.72701	2.2772	7.3894		
